key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
,,,,,,,,,,,,a,Correct!,0,41,41,10,1,t2.png,t3.png,1,0.90855,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.551105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,42,42,103,1,t3.png,t1.png,2,0.056466,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.85419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,43,43,99,1,t1.png,t5.png,4,9.55E-11,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.8752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,44,44,79,1,t3.png,t2.png,1,0.909,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.175095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,45,45,28,1,t2.png,t3.png,1,0.909,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.24108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,46,46,85,1,t3.png,t2.png,1,0.90855,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.408115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,47,47,84,1,t1.png,t1.png,0,0.97829,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.002355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,48,48,76,1,t3.png,t2.png,1,0.90855,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.161775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,49,49,62,1,t5.png,t5.png,0,0.978,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.849155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,50,50,8,1,t3.png,t2.png,1,0.90855,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.052585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,51,51,119,1,t1.png,t5.png,4,9.55E-11,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.002635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,52,52,80,1,t1.png,t4.png,3,0.0000131,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.084795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,53,53,75,1,t1.png,t1.png,0,0.97829,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.067175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,54,54,4,1,t1.png,t5.png,4,9.55E-11,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.5726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,55,55,105,1,t3.png,t2.png,1,0.90855,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,0.89831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,56,56,52,1,t2.png,t4.png,2,0.059078,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,1.297275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,57,57,3,1,t1.png,t5.png,4,9.55E-11,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,2.146925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,58,58,110,1,t4.png,t5.png,1,0.90025,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,59,59,86,1,t3.png,t1.png,2,0.056466,20 ,Male,2020-11-02_14h31.26.748,torte-q,2020.1.3,Win32,60,0.77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
